,Part No.,Cell,Cust,Tech,Vehicle,Customer Demand,QPC,,Pcs/ Changovr,Chgovrs/ Day,Time/ Chgovr,Total Chgovr Time,Chgovr Time/Line,Chgovr Time/Line/Pc,,# Online Assoc, # Offline Assoc , # ATL ,Shift Hours,PF&D Allow,1 Assoc,2 Assoc,3 Assoc,4 Assoc,5 Assoc,6 Assoc,7 Assoc
7V1484-707F4C,7V1484-707,F4C,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V1487-707F4C,7V1487-707,F4C,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V1390-707F4C,7V1390-707,F4C,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1394-707-A1F4C,7V1394-707-A1,F4C,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1397-707F4C,7V1397-707,F4C,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2070-707F4D,7V2070-707,F4D,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2072-707F4D,7V2072-707,F4D,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2078-707F4D,7V2078-707,F4D,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2690-707F4D,7V2690-707,F4D,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2694-707F4D,7V2694-707,F4D,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2697-707F4D,7V2697-707,F4D,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2480-707F4D,7V2480-707,F4D,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2482-707F4D,7V2482-707,F4D,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2488-707F4D,7V2488-707,F4D,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V1590-707F4E,7V1590-707,F4E,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1594-707F4E,7V1594-707,F4E,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1597-707F4E,7V1597-707,F4E,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1604-707F4E,7V1604-707,F4E,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V1607-707F4E,7V1607-707,F4E,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2590-707F4E,7V2590-707,F4E,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2594-707F4E,7V2594-707,F4E,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
