Dock code,QSS Item,CUST #,Tech,Cell,Back no,AF0628,AF0705,AF0712,AF0719,AF0726,AF0802,AF0809,AF0816,AF0823,AF0830,AF0906,AF0913,AF0920,AF0927,AF1004,AF1011,AF1018,AF1025,AF1101,AF1108,AF1115,AF1122,AF1129,AF1206
ATS,7M5290-707,C029,SIR,F51,3QS601,620,775,850,130,700,700,900,690,840,710,600,710,910,858,715,572,715,715,715,715,715,429,715,715
ATS,7M5304-707,C029,SIR,F51,3QS605,30,40,90,10,80,20,40,30,40,30,20,30,40,42,35,28,35,35,35,35,35,21,35,35
ATS,7M5307-707,C029,SIR,F51,3QS603,130,165,220,40,180,100,80,80,90,80,70,80,110,114,95,76,95,95,95,95,95,57,95,95
ATS,7M5300-707,C029,SIR,F51,3QS604,580,725,1080,170,810,370,480,390,470,390,310,390,440,438,365,292,365,365,365,365,365,219,365,365
ATS,7V2577-701,C029,B15,CF6,1QS504,9,10,0,0,9,0,0,0,9,9,0,0,0,11,9,7,9,9,9,9,9,5,9,9
ATS,7V2847-701,C029,B15,CF6,1QS627,0,0,0,0,0,0,27,27,27,27,27,27,27,119,99,79,99,99,99,99,99,59,99,99
ATS,7V2570-701,C029,B15,CF6,1QS505,324,405,594,99,459,234,297,243,288,243,171,234,270,173,144,115,144,144,144,144,144,86,144,144
ATS,7V2840-701,C029,B15,CF6,1QS628,0,0,0,0,0,0,27,27,27,27,27,27,27,119,99,79,99,99,99,99,99,59,99,99
ATS,7V2574-701,C029,B15,CF6,1QS506,9,10,18,0,27,9,9,9,9,18,9,9,9,0,0,0,0,0,0,0,0,0,0,0
ATS,7V2844-701,C029,B15,CF6,1QS629,0,0,0,0,0,0,27,27,27,27,27,27,27,119,99,79,99,99,99,99,99,59,99,99
ATS,7V2587-701,C029,B15,CF6,1QS509,117,145,216,36,180,99,81,81,81,72,72,81,108,227,189,151,189,189,189,189,189,113,189,189
ATS,7V2580-701,C029,B15,CF6,1QS510,252,315,486,81,342,144,171,144,180,153,135,153,171,313,261,209,261,261,261,261,261,157,261,261
ATS,7V2584-701,C029,B15,CF6,1QS511,27,35,63,0,63,9,27,27,18,18,18,18,18,54,45,36,45,45,45,45,45,27,45,45
ATS,7V1487-701,C029,B15,CF6,1QS501,117,145,216,36,180,99,81,81,81,72,72,81,108,76,63,50,63,63,63,63,63,38,63,63
ATS,7V1847-701,C029,B15,CF6,1QS624,0,0,0,0,0,0,27,27,27,27,27,27,27,140,117,94,117,117,117,117,117,70,117,117
ATS,7V1480-701,C029,B15,CF6,1QS502,252,315,486,81,342,144,171,144,180,153,135,153,171,97,81,65,81,81,81,81,81,49,81,81
