7,,Part No.,Cell,Cust,1 Assoc,2 Assoc,3 Assoc,4 Assoc,5 Assoc,6 Assoc
8,,,,,(sec/pc),,,,,
261,7V1100-701C30U044,7V1100-701,C30,U044,22.26576547079754,22.68200547079754, , , , 
262,7V1104-701C30U044,7V1104-701,C30,U044,22.26576547079754,22.68200547079754, , , , 
263,7M5057-701C30U044,7M5057-701,C30,U044,22.26576547079754,22.68200547079754, , , , 
264,7M5050-701C30U044,7M5050-701,C30,U044,22.26576547079754,22.68200547079754, , , , 
265,7M5054-701C30U044,7M5054-701,C30,U044,22.26576547079754,22.68200547079754, , , , 
266,7M5067-701C30U044,7M5067-701,C30,U044,30.56574213746421,32.84952547079754, , , , 
267,7M5060-701C30U044,7M5060-701,C30,U044,30.56574213746421,32.84952547079754, , , , 
268,7M5064-701C30U044,7M5064-701,C30,U044,30.56574213746421,32.84952547079754, , , , 
269,7V2190-7010C30C029,7V2190-7010,C30,C029,30.56574213746421,32.84952547079754, , , , 
270,7V2194-7010C30C029,7V2194-7010,C30,C029,30.56574213746421,32.84952547079754, , , , 
271,7V2197-7010C30C029,7V2197-7010,C30,C029,30.56574213746421,32.84952547079754, , , , 
272,7M5100-710C30C017,7M5100-710,C30,C017,19.345087375559444,23.382192137464205, , , , 
273,7M5104-710C30C017,7M5104-710,C30,C017,19.345087375559444,23.382192137464205, , , , 
274,A1507-201BF43U041,A1507-201B,F43,U041,,,,,,
275,A1502-105BF43U041,A1502-105B,F43,U041,,,,,,
276,A1502-201BF43U041,A1502-201B,F43,U041,,,,,,
277,A1500-201BF43U070,A1500-201B,F43,U070,,,,,,
278,A1501-201BF43U070,A1501-201B,F43,U070,,,,,,
279,A1502-105BF43U070,A1502-105B,F43,U070,,,,,,
280,A1502-201BF43U070,A1502-201B,F43,U070,,,,,,
281,A1507-201BF43U070,A1507-201B,F43,U070,,,,,,
282,A1507-105BF44U041,A1507-105B,F44,U041,,,,,,
283,A1507-105BF44U070,A1507-105B,F44,U070,,,,,,
