Tech,Cell,Destination,Cdn Holiday BA,Dock code,PROGRAM,Vehicle,Cust part #,CUST #,BPCS#,Dest,QPC,Misc,Back no,QSS Item,CF0906,AF0906,CF0913,AF0913,CF0920,AF0920,CF0927,AF0927,CF1004,AF1004,CF1011,AF1011,CF1018,AF1018,CF1025,AF1025,CF1101,AF1101,CF1108,AF1108,CF1115,AF1115,CF1122,AF1122,CF1129,AF1129,CF1206,AF1206,CF1213,AF1213,CF1220,AF1220,CF1227,AF1227,CF0103,AF0103,CF0110,AF0110,CF0117,AF0117,CF0124,AF0124,CF0131,AF0131,CF0207,AF0207,CF0214,AF0214,1 week dem,Daily hej level,1 week WD,1 day PINK,DLN,Batch ordering,Status,On heijunka,Part# check
Misc,Misc,Mex,N,TRMX,-,-,7V3097-0010,U455,340055,TRMX,4200,-,S0YP-L,7V3097-0010,0,0,0,0,0,0,0,0,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V4080-0010,U455,340055,TRMX,4200,-,S0YQ-L,7V4080-0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,4200,4200,0,0,0,0,0,0,0,0,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V4084-0010,U455,340055,TRMX,4200,-,S0YR-L,7V4084-0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V4086-0010,U455,340055,TRMX,4200,-,S0YS-L,7V4086-0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V4087-0010,U455,340055,TRMX,4200,-,S0YT-L,7V4087-0010,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,4200,0,0,0,0,4200,4200,0,0,4200,4200,4200,0,0,0,0,4200,3360,0,0,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V4094-0010,U455,340055,TRMX,4200,-,S0YU-L,7V4094-0010,0,0,0,0,0,0,0,0,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V4096-0010,U455,340055,TRMX,4200,-,S0YV-L,7V4096-0010,0,0,0,0,0,0,0,0,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V4097-0010,U455,340055,TRMX,4200,-,S0YW-L,7V4097-0010,0,0,0,0,0,0,0,0,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V4100-0010,U455,340055,TRMX,4200,-,S0Z5-L,7V4100-0010,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,4200,0,0,0,0,0,0,0,0,0,0,0,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,-,-,-,-,-,-,-,No,#REF!
Misc,SA6,Mex,N,TRMX,-,-,7F0010-1110,U455,340055,TRMX,500,-,S17V-6,7F0010-1110,0,1000,1000,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,1000,1000,1000,1000,1000,1000,2000,2000,1000,1000,1000,1000,1000,2000,2000,1000,800,0,0,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,"1,000",250,4,1,-,-,-,Yes,#REF!
Misc,SA6,Mex,N,TRMX,-,-,7F0010-1120,U455,340055,TRMX,500,-,S17W-6,7F0010-1120,0,500,500,0,0,0,0,0,0,500,500,500,500,1000,1000,1000,1000,500,500,1000,1000,500,500,1000,1000,1000,1000,1000,1000,1000,500,400,0,0,750,750,750,750,750,750,750,750,750,750,750,750,750,750,500,125,4,0,-,-,-,Yes,#REF!
Misc,SA6,Mex,N,TRMX,-,-,7F0010-1130,U455,340055,TRMX,500,-,S17X-6,7F0010-1130,1000,2000,2000,0,0,0,0,1000,1000,2000,2000,4000,4000,4000,4000,3000,3000,3000,3000,4000,4000,4000,4000,3000,3000,3000,3000,3000,4000,4000,2000,1600,0,0,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,"2,000",500,4,1,-,-,-,Yes,#REF!
Misc,Mold DS,Mex,Y,TRMX,-,-,730419-0602,U455,340055,TRMX,800,730419-0602,S0WC-M,730419-0602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,4800,4800,4800,4800,6400,6400,6400,6400,4000,3200,0,0,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,0,0,4,-,-,-,-,Yes,#REF!
Misc,Mold DS,Mex,N,TRMX,-,-,730461-7190,U455,340055,TRMX,78,-,S0Y6-M,730461-7190,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,624,1248,1248,2028,2028,1560,1560,1560,1560,1560,1560,1560,1560,1560,1170,936,0,0,780,780,780,780,780,780,780,780,780,780,780,780,780,780,0,0,4,-,-,-,-,Yes,#REF!
Misc,Mold DS,Mex,N,TRMX,-,-,730461-7200,U455,340055,TRMX,78,-,S0Y7-M,730461-7200,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,312,312,312,468,468,624,624,624,624,624,468,468,468,468,390,312,0,0,780,780,780,780,780,780,780,780,780,780,780,780,780,780,0,0,4,-,-,-,-,Yes,#REF!
Misc,Mold DS,Mex,N,TRMX,-,-,730461-7340,U455,340055,TRMX,78,-,S0Y8-M,730461-7340,1248,0,0,0,0,0,0,0,0,0,0,624,624,780,780,1560,1560,1716,1716,1560,1560,1716,1716,1872,1872,1872,1872,1872,1872,1872,1170,936,0,0,702,702,702,702,702,702,702,702,702,702,702,702,702,702,0,0,4,-,-,-,-,Yes,#REF!
Misc,Mold DS,Mex,N,TRMX,-,-,730461-7350,U455,340055,TRMX,78,-,S0Y9-M,730461-7350,0,0,0,0,0,0,0,312,312,468,468,780,780,1092,1092,1560,1560,1560,1560,1872,1872,2184,2184,2184,2184,2184,1716,1716,1716,1716,936,749,0,0,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,0,0,4,-,-,-,-,Yes,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V3010-0010,U455,340055,TRMX,4200,-,S0WL-L,7V3010-0010,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,4200,0,0,0,0,0,4200,4200,0,0,0,0,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V3011-0010,U455,340055,TRMX,4200,-,S0WM-L,7V3011-0010,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V3017-0010,U455,340055,TRMX,4200,-,S0WN-L,7V3017-0010,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,4200,0,0,0,0,0,4200,4200,0,0,4200,3360,0,0,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,-,-,-,-,-,-,-,No,#REF!
